,Année,Saisons,Températures
0,1880,Hiver,-0.33
1,1880,Eté,-0.21
2,1881,Hiver,-0.31
3,1881,Eté,-0.11
4,1882,Hiver,0.07
5,1882,Eté,-0.25
6,1883,Hiver,-0.65
7,1883,Eté,-0.15
8,1884,Hiver,-0.15
9,1884,Eté,-0.46
10,1885,Hiver,-0.65
11,1885,Eté,-0.42
12,1886,Hiver,-0.58
13,1886,Eté,-0.32
14,1887,Hiver,-0.68
15,1887,Eté,-0.35
16,1888,Hiver,-0.52
17,1888,Eté,-0.09
18,1889,Hiver,-0.09
19,1889,Eté,-0.13
20,1890,Hiver,-0.6
21,1890,Eté,-0.27
22,1891,Hiver,-0.55
23,1891,Eté,-0.14
24,1892,Hiver,-0.25
25,1892,Eté,-0.26
26,1893,Hiver,-1.05
27,1893,Eté,-0.22
28,1894,Hiver,-0.66
29,1894,Eté,-0.3
30,1895,Hiver,-0.63
31,1895,Eté,-0.23
32,1896,Hiver,-0.25
33,1896,Eté,-0.01
34,1897,Hiver,-0.33
35,1897,Eté,-0.02
36,1898,Hiver,-0.22
37,1898,Eté,-0.13
38,1899,Hiver,-0.34
39,1899,Eté,-0.2
40,1900,Hiver,-0.41
41,1900,Eté,-0.1
42,1901,Hiver,-0.15
43,1901,Eté,-0.04
44,1902,Hiver,-0.19
45,1902,Eté,-0.33
46,1903,Hiver,-0.24
47,1903,Eté,-0.48
48,1904,Hiver,-0.64
49,1904,Eté,-0.54
50,1905,Hiver,-0.52
51,1905,Eté,-0.24
52,1906,Hiver,-0.42
53,1906,Eté,-0.18
54,1907,Hiver,-0.42
55,1907,Eté,-0.43
56,1908,Hiver,-0.46
57,1908,Eté,-0.41
58,1909,Hiver,-0.64
59,1909,Eté,-0.44
60,1910,Hiver,-0.43
61,1910,Eté,-0.41
62,1911,Hiver,-0.69
63,1911,Eté,-0.39
64,1912,Hiver,-0.27
65,1912,Eté,-0.48
66,1913,Hiver,-0.59
67,1913,Eté,-0.49
68,1914,Hiver,0.06
69,1914,Eté,-0.27
70,1915,Hiver,-0.14
71,1915,Eté,-0.13
72,1916,Hiver,-0.17
73,1916,Eté,-0.41
74,1917,Hiver,-0.77
75,1917,Eté,-0.4
76,1918,Hiver,-0.74
77,1918,Eté,-0.39
78,1919,Hiver,-0.44
79,1919,Eté,-0.35
80,1920,Hiver,-0.33
81,1920,Eté,-0.28
82,1921,Hiver,-0.21
83,1921,Eté,-0.15
84,1922,Hiver,-0.38
85,1922,Eté,-0.26
86,1923,Hiver,-0.26
87,1923,Eté,-0.27
88,1924,Hiver,-0.12
89,1924,Eté,-0.23
90,1925,Hiver,-0.33
91,1925,Eté,-0.24
92,1926,Hiver,0.32
93,1926,Eté,-0.15
94,1927,Hiver,-0.21
95,1927,Eté,-0.12
96,1928,Hiver,0.0
97,1928,Eté,-0.21
98,1929,Hiver,-0.46
99,1929,Eté,-0.31
100,1930,Hiver,-0.32
101,1930,Eté,-0.04
102,1931,Hiver,-0.04
103,1931,Eté,0.11
104,1932,Hiver,0.11
105,1932,Eté,-0.12
106,1933,Hiver,-0.23
107,1933,Eté,-0.2
108,1934,Hiver,-0.11
109,1934,Eté,-0.05
110,1935,Hiver,0.11
111,1935,Eté,-0.08
112,1936,Hiver,-0.31
113,1936,Eté,0.05
114,1937,Hiver,0.16
115,1937,Eté,0.15
116,1938,Hiver,0.22
117,1938,Eté,0.0
118,1939,Hiver,-0.03
119,1939,Eté,0.05
120,1940,Hiver,0.28
121,1940,Eté,0.13
122,1941,Hiver,0.34
123,1941,Eté,0.22
124,1942,Hiver,0.17
125,1942,Eté,0.01
126,1943,Hiver,0.19
127,1943,Eté,0.01
128,1944,Hiver,0.48
129,1944,Eté,0.16
130,1945,Hiver,0.02
131,1945,Eté,0.15
132,1946,Hiver,0.08
133,1946,Eté,-0.06
134,1947,Hiver,-0.17
135,1947,Eté,-0.02
136,1948,Hiver,0.04
137,1948,Eté,0.03
138,1949,Hiver,-0.08
139,1949,Eté,-0.12
140,1950,Hiver,-0.23
141,1950,Eté,-0.15
142,1951,Hiver,-0.33
143,1951,Eté,0.09
144,1952,Hiver,0.24
145,1952,Eté,0.12
146,1953,Hiver,0.21
147,1953,Eté,0.22
148,1954,Hiver,-0.01
149,1954,Eté,-0.05
150,1955,Hiver,0.06
151,1955,Eté,-0.03
152,1956,Hiver,-0.21
153,1956,Eté,-0.22
154,1957,Hiver,-0.1
155,1957,Eté,0.13
156,1958,Hiver,0.4
157,1958,Eté,0.08
158,1959,Hiver,0.2
159,1959,Eté,0.1
160,1960,Hiver,0.23
161,1960,Eté,0.13
162,1961,Hiver,0.29
163,1961,Eté,0.09
164,1962,Hiver,0.16
165,1962,Eté,0.0
166,1963,Hiver,0.23
167,1963,Eté,0.07
168,1964,Hiver,-0.01
169,1964,Eté,-0.15
170,1965,Hiver,-0.22
171,1965,Eté,-0.2
172,1966,Hiver,-0.1
173,1966,Eté,0.1
174,1967,Hiver,-0.19
175,1967,Eté,0.02
176,1968,Hiver,-0.14
177,1968,Eté,-0.07
178,1969,Hiver,-0.41
179,1969,Eté,0.02
180,1970,Hiver,0.19
181,1970,Eté,-0.03
182,1971,Hiver,-0.22
183,1971,Eté,-0.14
184,1972,Hiver,-0.4
185,1972,Eté,-0.08
186,1973,Hiver,0.18
187,1973,Eté,0.08
188,1974,Hiver,-0.22
189,1974,Eté,-0.14
190,1975,Hiver,-0.01
191,1975,Eté,-0.09
192,1976,Hiver,-0.1
193,1976,Eté,-0.22
194,1977,Hiver,-0.1
195,1977,Eté,0.11
196,1978,Hiver,0.07
197,1978,Eté,-0.12
198,1979,Hiver,-0.13
199,1979,Eté,0.06
200,1980,Hiver,0.38
201,1980,Eté,0.14
202,1981,Hiver,0.5
203,1981,Eté,0.17
204,1982,Hiver,0.19
205,1982,Eté,-0.01
206,1983,Hiver,0.43
207,1983,Eté,0.19
208,1984,Hiver,0.15
209,1984,Eté,0.07
210,1985,Hiver,-0.21
211,1985,Eté,-0.03
212,1986,Hiver,0.28
213,1986,Eté,0.05
214,1987,Hiver,0.27
215,1987,Eté,0.23
216,1988,Hiver,0.52
217,1988,Eté,0.36
218,1989,Hiver,0.3
219,1989,Eté,0.27
220,1990,Hiver,0.45
221,1990,Eté,0.4
222,1991,Hiver,0.51
223,1991,Eté,0.41
224,1992,Hiver,0.43
225,1992,Eté,-0.05
226,1993,Hiver,0.37
227,1993,Eté,0.12
228,1994,Hiver,0.17
229,1994,Eté,0.35
230,1995,Hiver,0.76
231,1995,Eté,0.46
232,1996,Hiver,0.35
233,1996,Eté,0.24
234,1997,Hiver,0.43
235,1997,Eté,0.46
236,1998,Hiver,0.71
237,1998,Eté,0.73
238,1999,Hiver,0.77
239,1999,Eté,0.33
240,2000,Hiver,0.64
241,2000,Eté,0.44
242,2001,Hiver,0.43
243,2001,Eté,0.6
244,2002,Hiver,0.93
245,2002,Eté,0.62
246,2003,Hiver,0.63
247,2003,Eté,0.69
248,2004,Hiver,0.85
249,2004,Eté,0.5
250,2005,Hiver,0.7
251,2005,Eté,0.74
252,2006,Hiver,0.81
253,2006,Eté,0.72
254,2007,Hiver,1.16
255,2007,Eté,0.67
256,2008,Hiver,0.56
257,2008,Eté,0.59
258,2009,Hiver,0.72
259,2009,Eté,0.69
260,2010,Hiver,0.8
261,2010,Eté,0.86
262,2011,Hiver,0.55
263,2011,Eté,0.72
264,2012,Hiver,0.71
265,2012,Eté,0.84
266,2013,Hiver,0.69
267,2013,Eté,0.72
268,2014,Hiver,0.83
269,2014,Eté,0.82
270,2015,Hiver,1.15
271,2015,Eté,0.98
272,2016,Hiver,1.66
273,2016,Eté,1.09
274,2017,Hiver,1.3
275,2017,Eté,0.96
276,2018,Hiver,1.25
277,2018,Eté,0.87
278,2019,Hiver,1.13
279,2019,Eté,1.1
280,2020,Hiver,1.55
281,2020,Eté,1.11
282,2021,Hiver,1.14
283,2021,Eté,1.09
284,2022,Hiver,1.18
285,2022,Eté,1.11
286,2023,Hiver,1.22
287,2023,Eté,1.39
